Month,articleID,abstract,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,Month,source,typeOfMaterial,webURL,articleWordCount
Jan-17,58711e9995d0e039260797d9,,By DEB AMLEN,article,Variety: Acrostic,"['Acrostic Puzzles', 'Crossword Puzzles']",0,Games,0,1/7/17 17:00,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/07/crosswords/variety-acrostic-mushroom-edible.html,301
Jan-17,58711ff595d0e039260797dc,,By ANDREW HIGGINS,article,Russians Mock Meddling Charge as Unsupported,"['Cyberwarfare and Defense', 'Russia', 'Presidential Election of 2016', 'Espionage and Intelligence Services', 'Trump, Donald J', 'Putin, Vladimir V', 'RT (TV Network)', 'United States International Relations']",1,Foreign,14,1/7/17 17:05,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/07/world/europe/russians-ridicule-us-charge-that-kremlin-meddled-to-help-trump.html,1471
Jan-17,58d16ed195d0e02489b925b6,,By PAGAN KENNEDY,article,How to Starve Online Hate,"['Online Advertising', 'News and News Media', 'Rumors and Misinformation', 'Breitbart News Network LLC', 'BuzzFeed Inc', 'Trump, Donald J']",1,OpEd,12,1/7/17 19:30,Jan-17,The New York Times,Op-Ed,https://www.nytimes.com/2017/01/07/opinion/sunday/how-to-destroy-the-business-model-of-breitbart-and-fake-news.html,1808
Jan-17,587141c995d0e0392607980a,,By THE EDITORIAL BOARD,article,Crime and Gratitude in New York,"['Crime and Criminals', 'New York City', 'de Blasio, Bill', 'Bratton, William J', ""O'Neill, James P"", 'Police Department (NYC)', 'Murders, Attempted Murders and Homicides']",1,Editorial,10,1/7/17 19:30,Jan-17,The New York Times,Editorial,https://www.nytimes.com/2017/01/07/opinion/sunday/crime-and-gratitude-in-new-york.html,640
Jan-17,587141c995d0e03926079809,,By MAUREEN DOWD,article,White House Red Scare,"['United States Politics and Government', 'Trump, Donald J', 'Russia', 'Republican Party', 'Espionage and Intelligence Services', 'Cyberwarfare and Defense', 'United States International Relations']",1,OpEd,11,1/7/17 19:30,Jan-17,The New York Times,Op-Ed,https://www.nytimes.com/2017/01/07/opinion/sunday/white-house-red-scare.html,901
Jan-17,5871451695d0e03926079810,,By KARL MARLANTES,article,The War That Killed Trust,"['Vietnam War', 'Draft and Recruitment (Military)', 'United States Defense and Military Forces', 'Yale University']",1,OpEd,6,1/7/17 19:44,Jan-17,The New York Times,Op-Ed,https://www.nytimes.com/2017/01/07/opinion/sunday/vietnam-the-war-that-killed-trust.html,1884
Jan-17,5871471e95d0e03926079812,,By KATE MURPHY,article,"Yes, It’s Your Parents’ Fault","['Children and Childhood', 'Dating and Relationships', 'Psychology and Psychologists']",1,OpEd,4,1/7/17 19:52,Jan-17,The New York Times,News Analysis,https://www.nytimes.com/2017/01/07/opinion/sunday/yes-its-your-parents-fault.html,1205
Jan-17,587147a195d0e03926079815,,By BRIAN PALMER,article,For the Forgotten African-American Dead,"['Tombs and Tombstones', 'United Daughters of the Confederacy', 'McAuliffe, Terry', 'Richmond (Va)']",1,OpEd,2,1/7/17 19:55,Jan-17,The New York Times,Op-Ed,https://www.nytimes.com/2017/01/07/opinion/sunday/for-the-forgotten-african-american-dead.html,1572
Jan-17,587148a395d0e0392607981a,,By LIZ SPAYD,article,The Future of The Times: A View From the Top,"['New York Times', 'Baquet, Dean', 'Trump, Donald J']",1,Editorial,9,1/7/17 19:59,Jan-17,The New York Times,Op-Ed,https://www.nytimes.com/2017/01/07/public-editor/the-future-of-the-times-a-view-from-the-top.html,2267
Jan-17,587172fa95d0e03926079844,,By DEB AMLEN,article,The Downsizing of Nathaniel Ames,['Crossword Puzzles'],1,Games,0,1/7/17 23:00,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/07/crosswords/the-downsizing-of-nathaniel-ames-fish-contemporary-music-genre.html,899
Jan-17,58720de495d0e039260798b9,,By SHARON LaFRANIERE and MATT APUZZO,article,A Bond Over Bucking the Establishment,"['Sessions, Jefferson B III', 'Attorneys General', 'Justice Department', 'Trump, Donald J']",1,National,1,1/8/17 10:01,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/08/us/politics/jeff-sessions-attorney-general.html,4979
Jan-17,587237f295d0e039260798e7,,By BROOKS BARNES and CARA BUCKLEY,article,‘La La Land’ Dominates With Record Wins,"['Movies', 'Television', 'Golden Globes (Awards)', 'Celebrities', 'Hollywood Foreign Press Assn', 'Affleck, Casey', 'Davis, Viola', 'Fallon, Jimmy', 'Gibson, Mel', 'Jenkins, Barry', 'Lonergan, Kenneth', 'Stone, Emma', 'Streep, Meryl', 'Black-ish (TV Program)', 'Fences (Movie)', 'Hacksaw Ridge (Movie)', 'La La Land (Movie)', 'Manchester by the Sea (Movie)', 'Moonlight (Movie)']",1,Culture,1,1/8/17 13:00,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/08/movies/golden-globes.html,1806
Jan-17,58725b2e95d0e03926079909,,By KIRK SEMPLE and ELISABETH MALKIN,article,Fury in Mexico’s Streets After Gas Prices Surge,"['Mexico', 'Pena Nieto, Enrique', 'Politics and Government', 'Economic Conditions and Trends', 'International Trade and World Market', 'Oil (Petroleum) and Gasoline', 'Prices (Fares, Fees and Rates)', 'United States', 'Trump, Donald J']",1,Foreign,4,1/8/17 15:30,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/08/world/americas/unrest-mexico-pena-nieto-gas-prices-trump.html,1399
Jan-17,5872960395d0e0392607995c,,By BEN BRANTLEY,article,Unknown,"['Theater', 'Under the Radar Festival', 'The Bitter Game (Play)', 'Wallace, Keith A', 'Stein, Deborah']",1,Culture,0,1/8/17 19:41,Jan-17,The New York Times,Review,https://www.nytimes.com/2017/01/08/theater/the-bitter-game-public-theater-under-the-radar.html,346
Jan-17,5872c48c95d0e03926079999,,By DEB AMLEN,article,Failure to Comb,['Crossword Puzzles'],1,Games,0,1/8/17 23:00,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/08/crosswords/failure-to-comb-avoir-volvo-corn.html,487
Jan-17,5872da1995d0e039260799b5,,By JULIET MACUR,article,‘All-Star.’ ‘Defendant.’  Both Soon on a Plaque?,"['Clemens, Roger', 'Bonds, Barry', 'Halls of Fame', 'Steroids', 'Doping (Sports)', 'Baseball']",1,Sports,1,1/9/17 0:32,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/08/sports/baseball/barry-bonds-roger-clemens-hall-of-fame-plaque.html,1345
Jan-17,5872df7c95d0e039260799c2,,By JOHN J. DONOHUE III and MAX SCHOENING,article,The Grim Reaper of Alabama,"['Sessions, Jefferson B III', 'Capital Punishment', 'Alabama', 'Attorneys General', 'Blacks', 'Intellectual Disabilities', 'Prosecutorial Misconduct']",1,OpEd,17,1/9/17 0:55,Jan-17,The New York Times,Op-Ed,https://www.nytimes.com/2017/01/08/opinion/jeff-sessions-the-grim-reaper-of-alabama.html,856
